"insee","id_sdis","id_gestion","ref_terr","type_pei","diam_pei","diam_cana","date_mes","situation","press_stat","press_dyn","debit","date_ct","deci","prec","x","y","lon","lat"
"74010","64114","GRAND ANNECY","431","PI",100,"100","1965-01-01","AVENUE DU PARC DES SPORTS",6.2,5.2,60,"2022-12-22","OUI","10",941808.9,6539877.49,6.12046,45.91558
"74010","64115","GRAND ANNECY","432","PI",100,"100",NULL,"RUE MARECHAL LECLERC",6.1,5.5,60,"2023-06-12","OUI","10",941783.29,6539708.69,6.12004,45.91407
"74010","6281652","GRAND ANNECY","432BIS","PI",100,"125","2015-04-24","RUE MARECHAL LECLERC",6.1,5.6,60,"2023-06-05","OUI","01",941667.75,6539788.27,6.11859,45.91483
"74010","79372","GRAND ANNECY","433","PI",100,NULL,"1974-01-01","BOULEVARD DE LA ROCADE",6,2.6,60,"2022-12-22","OUI","10",941832.6,6539420.48,6.12053,45.91146
"74010","64188","GRAND ANNECY","433BIS","PI",100,"100","1989-01-01","RUE MARIUS RULLAND",6.1,5.2,60,"2022-12-22","OUI","10",941511.16,6539775.27,6.11657,45.91477
"74010","64189","GRAND ANNECY","434","PI",100,"100","1978-01-01","RUE DU 11E BATAILLON DE CHASSEURS",6,5.6,60,"2023-06-05","OUI","10",941627.62,6539678.13,6.11802,45.91385
"74010","64190","GRAND ANNECY","435","PI",100,"100","1965-01-01","AVENUE DES ROMAINS",6.3,5.3,60,"2022-12-22","OUI","01",941531.19,6539556.61,6.11671,45.91279
"74010","64191","GRAND ANNECY","435BIS","PI",100,"100","1974-01-01","RUE DU 11E BATAILLON DE CHASSEURS",6.1,5.7,60,"2022-12-22","OUI","01",941437.48,6539425.95,6.11544,45.91165
"74010","64192","GRAND ANNECY","436","PI",100,"100","1980-01-01","RUE FRANCOIS LEVEQUE",6,5.4,60,"2023-06-12","OUI","10",941341.28,6539588.43,6.11428,45.91314
"74010","6282557","GRAND ANNECY","436BIS","PI",100,"125","2020-02-20","RUE DE LA CRETE",6.2,5.3,60,"2023-06-12","OUI","01",941309.58,6539663.38,6.11391,45.91383
"74010","80425","GRAND ANNECY","437","PI",100,"125","2010-05-25","RUE MARECHAL LECLERC",5.9,5.3,60,"2022-12-22","OUI","10",941472.72,6539927.71,6.11615,45.91615
"74010","64193","GRAND ANNECY","438","PI",100,"100",NULL,"BOULEVARD DU FIER",61,5.7,60,"2023-06-05","OUI","01",941373.02,6539715.87,6.11476,45.91428
"74010","64194","GRAND ANNECY","439","PI",100,"100",NULL,"BOULEVARD DU FIER",5.6,5,60,"2022-12-07","OUI","01",941654.11,6540266.91,6.11866,45.91914
"74010",NULL,"GRAND ANNECY","439BIS","PI",100,"125","2022-09-29","BOULEVARD DU FIER",5.7,5.4,60,"2022-12-07","OUI","01",941650.45,6540297.53,6.11863,45.91942
"74010","64195","GRAND ANNECY","440","PI",100,"100","1972-01-01","BOULEVARD DU FIER",6.2,5.4,60,"2023-06-12","OUI","10",941817.71,6540475.27,6.12088,45.92096
"74010","64196","GRAND ANNECY","441","PI",100,"100",NULL,"RUE MARIUS VALLIN",5.5,4.8,60,"2022-12-22","OUI","10",941934.24,6540415.0,6.12235,45.92037
"74010","79769","GRAND ANNECY","441BIS","PI",100,"125","2010-01-26","RUE MARIUS VALLIN",5.6,5.1,60,"2022-12-07","OUI","05",941914.78,6540527.58,6.12215,45.92139
"74010","64197","GRAND ANNECY","442","PI",100,"125","2014-11-25","BOULEVARD DU FIER",6.4,5.3,60,"2023-06-13","OUI","01",941973.63,6540650.71,6.12297,45.92248
"74010","64198","GRAND ANNECY","443","PI",100,"100",NULL,"BOULEVARD DU FIER",5.6,4.8,60,"2022-12-22","OUI","05",941950.73,6540654.15,6.12268,45.92252
"74010","128977","GRAND ANNECY","444","PI",100,"125","2014-09-22","AVENUE DE GENEVE",6.3,5.6,60,"2023-06-13","OUI","01",942035.47,6541142.99,6.12402,45.92689
"74010","64374","GRAND ANNECY","444BIS","PI",100,"100",NULL,"AVENUE DE GENEVE",6,5,60,"2023-06-13","OUI","01",942036.18,6541496.85,6.12421,45.93007
"74010","6282510","GRAND ANNECY","444QTER","PI",100,"125","2021-06-16","ROUTE DE PRINGY",5.1,4.7,60,"2021-08-10","OUI","01",942152.73,6541308.08,6.12562,45.92833
"74010","63826","GRAND ANNECY","444TER","PI",100,"100","1991-01-01","ROUTE DE PRINGY",5.6,51,60,"2023-06-13","OUI","05",942129.59,6541344.88,6.12534,45.92867
"74010","64199","GRAND ANNECY","445","PI",100,"100","1969-01-01","AVENUE DE GENEVE",5.5,4.9,60,"2022-12-29","OUI","01",942048.01,6540754.91,6.12399,45.92339
"74010","81070","GRAND ANNECY","446","PI",100,"125","2005-02-01","AVENUE DE GENEVE",6,5.3,60,"2023-06-13","OUI","01",942042.12,6541040.16,6.12406,45.92596
"74010","83052","GRAND ANNECY","447","PI",100,"125","2011-01-01","RUE DE LA COLOMBIERE",5.8,5.2,60,"2022-12-29","OUI","01",942133.04,6541029.93,6.12522,45.92583
"74010","64200","GRAND ANNECY","448","PI",100,"100","1968-01-01","AVENUE DE GENEVE",6.3,5.4,60,"2023-06-13","OUI","01",942025.11,6540879.72,6.12376,45.92452
"74010","80426","GRAND ANNECY","449","PI",100,"100",NULL,"AVENUE DE GENEVE",5.9,5.3,60,"2022-12-29","OUI","01",942033.09,6540678.42,6.12376,45.92271
"74010","64201","GRAND ANNECY","450","PI",100,"100","1977-01-01","ALLEE BERTHE MORISOT",6.3,5.3,60,"2023-06-13","OUI","01",942033.78,6540546.02,6.1237,45.92151
"74010","79453","GRAND ANNECY","451","PI",100,"100","1977-01-01","AVENUE DE GENEVE",5.9,5.2,60,"2022-12-29","OUI","01",942043.26,6540416.48,6.12375,45.92035
"74010","76238","GRAND ANNECY","451BIS","PI",100,"160","2019-10-08","RUE LUCIE AUBRAC",5.7,5.4,60,"2022-12-07","OUI","01",942041.09,6540310.84,6.12367,45.9194
"74010","64202","GRAND ANNECY","452","PI",100,"100","2016-11-10","AVENUE DE GENEVE",6.1,5.4,60,"2023-06-13","OUI","01",942051.42,6540195.84,6.12375,45.91836
"74010","6281651","GRAND ANNECY","452BIS","PI",100,"125","2017-08-01","ALLEE MARIE PARADIS",5.9,5.1,60,"2023-06-13","OUI","01",941967.88,6540212.03,6.12268,45.91853
"74010","6282161","GRAND ANNECY","452TER","PI",100,"125","2019-05-20","ALLEE MARIE PARADIS",5.9,5.2,60,"2023-06-13","OUI","01",941958.19,6540276.72,6.12259,45.91912
"74010","64203","GRAND ANNECY","453","PI",100,"100","1975-01-01","RUE LEO LAGRANGE",6.5,5.8,60,"2022-12-29","OUI","05",942048.18,6540053.18,6.12363,45.91708
"74010","64204","GRAND ANNECY","454","PI",100,"100","2016-11-10","RUE AIME VASCHY",6.3,5.6,60,"2023-06-13","OUI","01",942062.49,6539857.03,6.12372,45.91531
"74010","64205","GRAND ANNECY","455","PI",100,"100","1994-01-01","RUE DES ALPINS",5.9,5.4,60,"2022-12-29","OUI","10",942138.8,6540049.33,6.1248,45.91701
